epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1579,3.49179,7.01387,3.87319,0.00625,0.39062,0.01247,0.00491,4.31135,8.69842,4.635,0.00012,0.00012,0.00012
2,141.518,2.89264,6.68583,3.55574,0.00725,0.45312,0.02949,0.01464,4.28962,8.49502,4.24104,0.000259142,0.000259142,0.000259142
3,203.661,3.00189,6.4263,3.48498,0.00842,0.52604,0.03359,0.01573,4.55717,8.43762,4.33465,0.00039736,0.00039736,0.00039736
4,265.103,2.80835,6.0998,3.2816,0.00867,0.54167,0.02534,0.00983,4.10672,8.25394,4.12789,0.000534654,0.000534654,0.000534654
5,327.525,3.10209,5.80094,3.39226,0.00842,0.52604,0.04153,0.01299,4.41599,8.30414,4.66579,0.000671024,0.000671024,0.000671024
6,388.834,3.10455,5.59365,3.43087,0.00767,0.47917,0.0513,0.01183,4.88205,8.72797,4.98276,0.00080647,0.00080647,0.00080647
7,450.193,3.14739,5.66743,3.42538,0.00967,0.60417,0.04691,0.0158,4.93202,8.66566,5.40693,0.000940992,0.000940992,0.000940992
8,512.524,3.11426,5.5816,3.50305,0.01008,0.63021,0.04344,0.01397,4.96496,8.85379,5.35445,0.00107459,0.00107459,0.00107459
9,574.73,3.00721,5.45442,3.31763,0.00975,0.60938,0.07003,0.02393,4.39708,8.06062,5.09241,0.00120726,0.00120726,0.00120726
10,636.623,3.03116,5.26338,3.33448,0.00825,0.51042,0.03089,0.01001,4.80313,8.72429,5.27656,0.00133901,0.00133901,0.00133901
11,698.66,3.16765,5.40002,3.39912,0.11105,0.06771,0.03603,0.01115,4.75057,8.39367,5.23893,0.00146984,0.00146984,0.00146984
12,760.48,3.10401,5.14928,3.3437,0.05086,0.05729,0.01263,0.00378,5.23458,13.8282,6.01656,0.00159974,0.00159974,0.00159974
13,821.996,3.15028,5.16336,3.40257,0.04851,0.03125,0.01016,0.00325,5.66706,13.185,6.16467,0.00172872,0.00172872,0.00172872
14,884.338,3.14441,5.17145,3.36619,0.06647,0.06771,0.01653,0.00622,5.29148,9.63327,5.59048,0.00185677,0.00185677,0.00185677
15,945.822,2.93426,4.87458,3.23828,0.08285,0.04688,0.01758,0.00652,5.26724,10.4236,5.89911,0.0019076,0.0019076,0.0019076
16,1007.18,3.1094,4.92596,3.36707,0.02578,0.0625,0.01253,0.00454,5.01779,11.0024,5.69514,0.001901,0.001901,0.001901
17,1070.23,3.05432,4.92786,3.31486,0.04189,0.05729,0.02188,0.00729,5.22311,9.8838,5.62966,0.0018944,0.0018944,0.0018944
